source_updated_at,fetched_at,location,district,dico,global_id_local,alert_source,alert_scope,target_date,start_time,end_time,alert_type,alert_level,alert_level_order,alert_color,description,recommendation_summary,source
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Agitação Marítima,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Neve,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Nevoeiro,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Precipitação,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Tempo Frio,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-18T18:00:00,Tempo Quente,Laranja,2,Laranja,Em especial no interior: persistência de valores elevados da temperatura máxima.,"Situação de risco moderado a elevado; reforçar comunicação, condicionar atividades exteriores e seguir orientações da ANEPC. Aplicar medidas de calor: hidratação, sombra, redução de esforço e proteção de grupos vulneráveis.",IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Tempo Quente,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Trovoada,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17T12:06:00,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Avisos meteorológicos,Distrito do Porto (área de aviso PTO),2026-08-17,2026-08-17T12:06:00,2026-08-20T12:00:00,Vento,Verde,0,Verde,,Sem aviso meteorológico ativo acima de Verde para este parâmetro.,IPMA open-data forecast/warnings/warnings_www.json
2026-08-17 09:35:02,2026-08-17T14:54:24Z,Matosinhos,Porto,1308,1130800,Risco de incêndio rural,Concelho de Matosinhos,2026-08-18,2026-08-18,,Risco de Incêndio Rural,Risco moderado,1,Amarelo,RCM 2 - Risco moderado,Evitar fogo e fontes de ignição no exterior; confirmar regras municipais antes de queimas ou trabalhos com faísca.,IPMA open-data forecast/meteorology/rcm
