source_updated_at,fetched_at,location,district,global_id_local,target_date,uv_index,uv_level,uv_level_order,uv_color,protection_required,recommendation_summary,source
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-22,6.0,Alto,2,Laranja,Proteção reforçada,"Proteção reforçada; reduzir exposição nas horas centrais, procurar sombra e usar proteção ocular, chapéu, roupa e protetor solar.",IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-23,5.3,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-24,4.5,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-25,5.2,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-26,5.2,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-27,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-28,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-29,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-09-30,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-09-22T07:54:16,2026-09-22T13:31:58Z,Matosinhos,Porto,1130800,2026-10-01,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
