cycle_id,completed_at_utc
2026-05-27-morning,2026-05-27T09:26:25Z
2026-05-27-afternoon,2026-05-27T16:36:42Z
2026-05-28-morning,2026-05-28T11:43:09Z
2026-05-28-afternoon,2026-05-28T17:36:19Z
2026-05-29-morning,2026-05-29T10:02:34Z
2026-05-29-morning-data,2026-05-29T10:02:34Z
2026-05-29-morning-report,2026-05-29T10:02:34Z
2026-05-29-afternoon-data,2026-05-29T17:52:54Z
2026-05-29-afternoon-report,2026-05-29T18:16:02Z
2026-05-30-morning-data,2026-05-30T10:24:54Z
2026-05-30-morning-report,2026-05-30T10:47:09Z
2026-05-30-afternoon-data,2026-05-30T15:50:18Z
2026-05-30-afternoon-report,2026-05-30T16:10:20Z
2026-05-31-morning-data,2026-05-31T10:32:16Z
2026-05-31-morning-report,2026-05-31T10:56:00Z
2026-05-31-afternoon-data,2026-05-31T15:52:04Z
2026-05-31-afternoon-report,2026-05-31T16:18:38Z
2026-06-01-morning-data,2026-06-01T14:38:53Z
2026-06-01-morning-report,2026-06-01T14:59:25Z
