"source_updated_at","fetched_at","location","district","dico","requested_latitude","requested_longitude","grid_latitude","grid_longitude","elevation_m","timezone","model","forecast_date","horizon_days","horizon_label","temperature_2m_min_c","temperature_2m_max_c","temperature_2m_mean_c","apparent_temperature_min_c","apparent_temperature_max_c","source"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-03","0","D+0",19,22.8,20.8,20.9,24.6,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-04","1","D+1",20,23.2,21.4,22.7,26.6,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-05","2","D+2",19.3,22.1,20.6,20.3,23.8,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-06","3","D+3",17.4,23.1,20.4,19.1,25,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-07","4","D+4",18.6,22.9,20.6,21.1,26.5,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-08","5","D+5",18.1,23.9,21.1,20.2,27,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-09","6","D+6",20.8,22.2,21.5,23.8,24.8,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-10","7","D+7",19.1,24.8,22,21.4,27.8,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-11","8","D+8",18.9,24.6,21.6,20.8,27.6,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-12","9","D+9",18.8,23.4,21,20.9,26.2,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-13","10","D+10",18.5,25.4,21.8,20.9,28.4,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-14","11","D+11",18.6,25.2,22.1,20.9,28.5,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-15","12","D+12",19.2,25.9,22.6,21.4,29.3,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-16","13","D+13",18.7,24.2,21.6,21.2,27.3,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-17","14","D+14",18.1,24.2,21,20.8,27.3,"Open-Meteo Forecast API"
"2026-08-03T11:54:52Z","2026-08-03T11:54:52Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-08-18","15","D+15",18.8,23.4,20.6,16.9,23.9,"Open-Meteo Forecast API"
