"source_updated_at","fetched_at","location","district","dico","requested_latitude","requested_longitude","grid_latitude","grid_longitude","elevation_m","timezone","model","forecast_date","horizon_days","horizon_label","temperature_2m_min_c","temperature_2m_max_c","temperature_2m_mean_c","apparent_temperature_min_c","apparent_temperature_max_c","source"
"2026-05-29T12:21:46Z","2026-05-29T12:21:46Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-29","0","D+0","16.8","20.1","18.2","17.8","21.5","Open-Meteo Forecast API"
"2026-05-29T12:21:46Z","2026-05-29T12:21:46Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-30","1","D+1","16.4","20.1","17.9","15.6","21.3","Open-Meteo Forecast API"
"2026-05-29T12:21:46Z","2026-05-29T12:21:46Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-31","2","D+2","15.4","21.6","18.4","16.5","21.6","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-29","0","D+0","16.8","20.1","18.2","17.8","21.5","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-30","1","D+1","16.4","20.1","17.9","15.6","21.3","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-31","2","D+2","15.4","21.6","18.4","16.5","21.6","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-01","3","D+3","16.5","20.4","18.4","16.8","21.1","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-02","4","D+4","16.2","19.2","17.6","14.9","18.3","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-03","5","D+5","15.8","19.4","17.5","15.3","20.7","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-04","6","D+6","15.5","18.8","17.6","14.2","19.5","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-05","7","D+7","13.3","17.6","15.5","11.5","16.3","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-06","8","D+8","11.6","17.4","14.5","9.7","15.1","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-07","9","D+9","11.2","19","15.2","10.6","17.6","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-08","10","D+10","12.1","20.1","16.2","10.2","20.2","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-09","11","D+11","13.4","24.9","19.5","13.9","26.2","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-10","12","D+12","17.9","28","23.5","18.9","29.9","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-11","13","D+13","24.9","32.4","28.8","24","33.7","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-12","14","D+14","18.8","26.5","23.4","19.5","28.3","Open-Meteo Forecast API"
"2026-05-29T12:22:39Z","2026-05-29T12:22:39Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-13","15","D+15","13.8","28.2","21.7","12.3","31.4","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-29","0","D+0","16.8","20.1","18.2","17.8","21.5","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-30","1","D+1","16.4","20.1","17.9","15.6","21.3","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-05-31","2","D+2","15.4","21.6","18.4","16.5","21.6","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-01","3","D+3","16.5","20.4","18.4","16.8","21.1","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-02","4","D+4","16.2","19.2","17.6","14.9","18.3","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-03","5","D+5","15.8","19.4","17.5","15.3","20.7","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-04","6","D+6","15.5","18.8","17.6","14.2","19.5","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-05","7","D+7","13.3","17.6","15.5","11.5","16.3","Open-Meteo Forecast API"
"2026-05-29T12:23:23Z","2026-05-29T12:23:23Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2026-06-06","8","D+8","11.6","17.4","14.5","9.7","15.1","Open-Meteo Forecast API"
